HORA,FECHA,CATEGORIA,ID,YT,IG,TT,TH,X,TITULO,EDITOR,FORMATO,LINK,VERSION
9:00,11/04/2025,FRASES,RLOB2540206,VERDADERO,VERDADERO,VERDADERO,NO,NO,4 consejos japoneses 😉,Arcel Balderas,Video Listo (REEL) v2,https://youtube.com/shorts/hshiWDAQ8U,  v2
10:00,11/04/2025,HACKS,RLOB2530421,VERDADERO,VERDADERO,VERDADERO,NO,NO,Tu carro olerá como nuevo,Fabian Garcia,Video Listo (REEL),https://youtu.be/0_4NmpJhR_M,v1
10:30,11/04/2025,APROBADO,PRV2530473,VERDADERO,VERDADERO,VERDADERO,NO,NO,"PROMO SGarcía: Escuchar no es un lujo, es un derecho",Ismael Juarez,Video Listo (REEL),https://youtube.com/shorts/-DPzMHCytkc,v1
11:00,11/04/2025,PRISILA,PRVB2540184,VERDADERO,VERDADERO,VERDADERO,NO,NO,¿A qué personaje te pareces?,Selene Dominguez,Video Listo,https://youtube.com/shorts/qMi4lY54qlM,v1
12:00,11/04/2025,HACKS,RLOB2540115,VERDADERO,VERDADERO,VERDADERO,NO,VERDADERO,Truco para estacionarse,Fabian Garcia,Video Listo (REEL),https://youtube.com/shorts/K0NjErDZbqg,v1
13:00,11/04/2025,FRASES,RLOB2540176,VERDADERO,VERDADERO,VERDADERO,NO,NO,Quisiera que estuvieras aquí 🥹,Arcel Balderas,Video Listo (REEL) v2,https://youtube.com/shorts/bhefqcL4MM,v2
14:00,11/04/2025,HACKS,RLOB2540023,VERDADERO,VERDADERO,VERDADERO,NO,NO,Esto me lo enseñó mi abuela,Fabian Garcia,Video Listo (REEL),https://youtube.com/shorts/6tf3BwmaUJk,v1
14:40,11/04/2025,APROBADO,PRB2540235,VERDADERO,VERDADERO,VERDADERO,NO,NO,PROMO Lumi: Taller gratis para hacer tu propia vela en Tijuana (URGENTE),Lucia Figueroa,Video Listo (REEL),https://youtube.com/shorts/3eDmSip_DJE,v1
15:00,11/04/2025,MEME,RLOB2540170,VERDADERO,VERDADERO,VERDADERO,NO,NO,Veamos dónde le dicen más raro 🤔,Fabián García,Video Listo (REEL) v2,https://youtube.com/shorts/blNWLIrGweY,V2
16:00,11/04/2025,HACKS,RLOB2540117,VERDADERO,VERDADERO,VERDADERO,NO,NO,Aprende a manejar estándar,Fabian Garcia,Video Listo (REEL),https://youtube.com/shorts/qWv6Aaqb8U,v1
17:00,11/04/2025,HACKS,RLOB2530248,VERDADERO,VERDADERO,VERDADERO,NO,VERDADERO,La mejor forma de colocar una toalla,Emmanuel Alvarez,Video Listo (REEL) v2,https://youtube.com/shorts/G-UOWEiPYc,v2
17:30,11/04/2025,VICTOR SERRANO,VSB2540190,VERDADERO,VERDADERO,VERDADERO,NO,NO,Me da miedo que mi hijo sufra lo mismo que yo 🥹,Gamaliel Alvarez,Video Listo (TALENTO),https://youtu.be/iPAJIG2Bmyg,v1
18:20,11/04/2025,HACKS,RLOB2530609,VERDADERO,VERDADERO,VERDADERO,NO,NO,No cometas este error,Fabián García,Video Listo (REEL),https://youtube.com/shorts/Lk1nOiDQ5Ng,v1
19:00,11/04/2025,FRASES,RLOB2540179,VERDADERO,VERDADERO,VERDADERO,NO,NO,Cupón válido para una cita 🩷,Arcel Baldeas,Video Listo (REEL),https://youtu.be/gQ9fPUf1qW0,v1
19:15,11/04/2025,APROBADO,PRB2540215,VERDADERO,VERDADERO,VERDADERO,NO,NO,PROMO LumiCafé: Todo esto y aún así nos conocimos ✨,Selene Dominguez,Video Listo (REEL),https://youtube.com/shorts/BGcZcZ4Q2o,v1
9:00,12/04/2025,HACKS,RLOB2530404,VERDADERO,VERDADERO,VERDADERO,NO,NO,Trucos que cambian vidas 🤩,Bladimir Madero,Video Listo (REEL),https://youtu.be/znQlnj_Y1AA,v1
9:30,12/04/2025,DULCE,DUB2540191,VERDADERO,VERDADERO,VERDADERO,NO,NO,¿Encuentran sirenas en casa de Cantinflas?,Arredondo Balderas,Video Listo,https://youtube.com/shorts/ybkHOqqr2s,v1
10:00,12/04/2025,FRASES DIOS,RLOB2540127,VERDADERO,VERDADERO,VERDADERO,NO,NO,Pero nunca sin Dios,Arcel Balderas,Video Listo (REEL),https://youtu.be/Y4iuFiZgHnM,v1
10:30,12/04/2025,VICTOR SERRANO,VST2540214,VERDADERO,VERDADERO,VERDADERO,NO,NO,Nunca olvidaré los días que me dormía temprano para olvidar el hambre 😴,Gamaliel Alvarez,Video Listo (TALENTO),https://youtu.be/IPyOEtBQKYM,v1
10:30,12/04/2025,APROBADO,PRB2540219,VERDADERO,VERDADERO,VERDADERO,NO,NO,PROMO IBurgueño: El alumbrado público de tu colonia no sirve,Vero Dominguez,Video Listo (REEL),https://youtube.com/shorts/FTreOmaSZ9w,v1
11:00,12/04/2025,HACKS,RLOB2540122,VERDADERO,VERDADERO,VERDADERO,NO,NO,Cómo remolcar tu carro,Vero Dominguez,Video Listo (REEL),https://youtube.com/shorts/D50TFqjm-mc,v1
12:00,12/04/2025,FRASES,RLOB2540181,VERDADERO,VERDADERO,VERDADERO,NO,NO,Para ese amigo ciego 🤓,Arcel Baldeas,Video Listo (REEL),https://youtube.com/shorts/zWs_nDS2OQ,v1
13:00,12/04/2025,DULCE,DUB2540192,VERDADERO,VERDADERO,VERDADERO,NO,NO,¿Cazzu le fue infiel a Christian Nodal?,Michelle Sandoval,Video Listo (REEL) v2,https://youtube.com/shorts/pOgVBJoRU,v2
13:30,12/04/2025,APROBADO,PRB2540105,VERDADERO,VERDADERO,VERDADERO,NO,NO,"PROMO Lumi Café: Deja el celular, vamos por un café",Michelle Sandoval,Video Listo (REEL),https://youtube.com/shorts/NIitrl6samk,v1
14:00,12/04/2025,DULCE,DUB2540183,VERDADERO,VERDADERO,VERDADERO,NO,NO,¿Científicos reviven a lobos gigantes?,Arredondo Balderas,Video Listo (REEL),https://youtube.com/shorts/1O43Sbnzs,v1
15:00,12/04/2025,NOTICIA MARTÍN,MMB2540015,VERDADERO,VERDADERO,NO,NO,NO,Nunca dejes que tus hijos hagan esto durante las lluvias,Arredondo Balderas,Video Listo,https://youtube.com/shorts/uPzr2iRoFA,v1
15:15,12/04/2025,MACU,ANP2540024,VERDADERO,VERDADERO,VERDADERO,NO,VERDADERO,3 cosas que no sabías de la esposa de Eduin Caz,Michelle Sandoval,Video Listo V2,https://youtube.com/shorts/d5z6lkLvQvQ,V2
16:00,12/04/2025,FRASES,RLOB2540140,VERDADERO,VERDADERO,VERDADERO,NO,NO,"Escogería a mi papá, siempre.",Arcel Balderas,Video Listo (REEL),https://youtube.com/shorts/RhEAovzfhk,v1
16:30,12/04/2025,APROBADO,PRB2540225,VERDADERO,VERDADERO,VERDADERO,NO,NO,PROMO LUMI Café: Serás la mejor tía del mundo ❤️,Selene Dominguez,Video Listo (REEL),https://youtube.com/shorts/SO4sPeUN-8,v1
17:00,12/04/2025,DULCE,DUB2540216,VERDADERO,VERDADERO,VERDADERO,NO,NO,10 Famosas que están embarazadas este 2025,Michelle Sandoval,Video Listo (REEL),https://youtube.com/shorts/t71ch1m6ug,v1
17:30,12/04/2025,VICTOR SERRANO,VST2540153,VERDADERO,VERDADERO,VERDADERO,NO,NO,Visite a los mejores emprendedores de Oaaca ✨,Gamaliel Alvarez,Video Listo (TALENTO),https://youtube.com/shorts/WLIdUzpATQ4,v1
18:00,12/04/2025,NOTICIA MARTÍN,MMB2540147,VERDADERO,VERDADERO,NO,NO,NO,MARTIN El lugar más peligroso para cruzar a Estados Unidos,Elihu González,Video Listo (REEL),https://youtube.com/shorts/0fpwwoc4g4s,v1
19:00,12/04/2025,DULCE,DUB2530558,VERDADERO,VERDADERO,NO,NO,VERDADERO,E esposo de Jenni sale de la cárcel,Ricardo Vizcarra,Video Listo (REEL),https://youtu.be/gCJNN8heEhk,v1
9:00,13/04/2025,HACKS,RLOB2540110,VERDADERO,VERDADERO,VERDADERO,VERDADERO,NO,Cómo estacionarte en reversa,Arcel Baldeas,Video Listo (REEL),https://youtu.be/SgtgY_hSAdk,v1
10:00,13/04/2025,HACKS,RLOB2530344,VERDADERO,VERDADERO,VERDADERO,NO,NO,Bolso secreto en pantalon,Ricardo Vizcarra,Video Listo (REEL),https://youtube.com/shorts/WTQ_E5Rqeo,v1
10:15,13/04/2025,MIROSLAVA,MIRB2530449,VERDADERO,VERDADERO,VERDADERO,NO,NO,El emprendedor de Tijuana que fue rechazado en Shark Tank,Hernandez Quiñonez,Video Listo,,v1
10:30,13/04/2025,APROBADO,PRB2540228,VERDADERO,VERDADERO,VERDADERO,NO,NO,PROMO LUMI Café: Confía en tu proceso ❤️‍🩹,Selene Dominguez,Video Listo (REEL),https://youtube.com/shorts/-h10Ltm11U,v1
10:30,13/04/2025,VICTOR SERRANO,VST2540231,VERDADERO,VERDADERO,VERDADERO,NO,NO,Si Dios te quita todo es por que tiene algo mejor para ti 🙏,Gamaliel Alvarez,Aprobado,https://youtube.com/shorts/4f4eGa05HPU,v1
11:00,13/04/2025,DULCE,DUB2540217,VERDADERO,VERDADERO,VERDADERO,NO,NO,La historia detrás de Tito Doble P,Michelle Sandoval,Video Listo (REEL) v2,https://youtube.com/shorts/NiDhJFKeN8,v1
12:00,13/04/2025,HACKS,RLOB2530409,VERDADERO,VERDADERO,VERDADERO,NO,VERDADERO,Truco para cortar tu verdura,Fabian Garcia,Video Listo (REEL),https://youtube.com/shorts/RO3CW0ozo,v1
