HORA,FECHA,CATEGORIA,ID,YT,IG,TT,TH,X,TITULO,EDITOR,FORMATO,LINK,VERSION
9:00,2025-04-11,FRASES,RLOB2540206,true,true,true,false,false,4 consejos japoneses 😉,Arcel Balderas,Video Listo (REEL) v2,https://youtube.com/shorts/hshiWDAQ8U,v2
10:00,2025-04-11,HACKS,RLOB2530421,true,true,true,false,false,Tu carro olerá como nuevo,Fabian Garcia,Video Listo (REEL),https://youtu.be/0_4NmpJhR_M,v1
10:30,2025-04-11,APROBADO,PRV2530473,true,true,true,false,false,"PROMO SGarcía: Escuchar no es un lujo, es un derecho",Ismael Juarez,Video Listo (REEL),https://youtube.com/shorts/-DPzMHCytkc,v1
11:00,2025-04-11,PRISILA,PRVB2540184,true,true,true,false,false,¿A qué personaje te pareces?,Selene Dominguez,Video Listo,https://youtube.com/shorts/qMi4lY54qlM,v1
12:00,2025-04-11,HACKS,RLOB2540115,true,true,true,false,true,Truco para estacionarse,Fabian Garcia,Video Listo (REEL),https://youtube.com/shorts/K0NjErDZbqg,v1
13:00,2025-04-11,FRASES,RLOB2540176,true,true,true,false,false,Quisiera que estuvieras aquí 🥹,Arcel Balderas,Video Listo (REEL) v2,https://youtube.com/shorts/bhefqcL4MM,v2
14:00,2025-04-11,HACKS,RLOB2540023,true,true,true,false,false,Esto me lo enseñó mi abuela,Fabian Garcia,Video Listo (REEL),https://youtube.com/shorts/6tf3BwmaUJk,v1
14:40,2025-04-11,APROBADO,PRB2540235,true,true,true,false,false,PROMO Lumi: Taller gratis para hacer tu propia vela en Tijuana (URGENTE),Lucia Figueroa,Video Listo (REEL),https://youtube.com/shorts/3eDmSip_DJE,v1
15:00,2025-04-11,MEME,RLOB2540170,true,true,true,false,false,Veamos dónde le dicen más raro 🤔,Fabián García,Video Listo (REEL) v2,https://youtube.com/shorts/blNWLIrGweY,V2
16:00,2025-04-11,HACKS,RLOB2540117,true,true,true,false,false,Aprende a manejar estándar,Fabian Garcia,Video Listo (REEL),https://youtube.com/shorts/qWv6Aaqb8U,v1
17:00,2025-04-11,HACKS,RLOB2530248,true,true,true,false,true,La mejor forma de colocar una toalla,Emmanuel Alvarez,Video Listo (REEL) v2,https://youtube.com/shorts/G-UOWEiPYc,v2
17:30,2025-04-11,VICTOR SERRANO,VSB2540190,true,true,true,false,false,Me da miedo que mi hijo sufra lo mismo que yo 🥹,Gamaliel Alvarez,Video Listo (TALENTO),https://youtu.be/iPAJIG2Bmyg,v1
18:20,2025-04-11,HACKS,RLOB2530609,true,true,true,false,false,No cometas este error,Fabián García,Video Listo (REEL),https://youtube.com/shorts/Lk1nOiDQ5Ng,v1
19:00,2025-04-11,FRASES,RLOB2540179,true,true,true,false,false,Cupón válido para una cita 🩷,Arcel Baldeas,Video Listo (REEL),https://youtu.be/gQ9fPUf1qW0,v1
19:15,2025-04-11,APROBADO,PRB2540215,true,true,true,false,false,PROMO LumiCafé: Todo esto y aún así nos conocimos ✨,Selene Dominguez,Video Listo (REEL),https://youtube.com/shorts/BGcZcZ4Q2o,v1
9:00,2025-04-12,HACKS,RLOB2530404,true,true,true,false,false,Trucos que cambian vidas 🤩,Bladimir Madero,Video Listo (REEL),https://youtu.be/znQlnj_Y1AA,v1
9:30,2025-04-12,DULCE,DUB2540191,true,true,true,false,false,¿Encuentran sirenas en casa de Cantinflas?,Arredondo Balderas,Video Listo,https://youtube.com/shorts/ybkHOqqr2s,v1
10:00,2025-04-12,FRASES DIOS,RLOB2540127,true,true,true,false,false,Pero nunca sin Dios,Arcel Balderas,Video Listo (REEL),https://youtu.be/Y4iuFiZgHnM,v1
10:30,2025-04-12,VICTOR SERRANO,VST2540214,true,true,true,false,false,Nunca olvidaré los días que me dormía temprano para olvidar el hambre 😴,Gamaliel Alvarez,Video Listo (TALENTO),https://youtu.be/IPyOEtBQKYM,v1
10:30,2025-04-12,APROBADO,PRB2540219,true,true,true,false,false,PROMO IBurgueño: El alumbrado público de tu colonia no sirve,Vero Dominguez,Video Listo (REEL),https://youtube.com/shorts/FTreOmaSZ9w,v1
